Codigo;Ação;Tipo;Qtde. Teórica;Part. (%);flg_carrega_site
RECV3;PETRORECSA;ON      NM;275.699.226;0,224;0
PRIO3;PETRORIO;ON      NM;798.909.771;1,603;0
PETZ3;PETZ;ON      NM;307.729.428;0,072;0
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,474;1
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,166;0
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,599;0
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,077;0
SBSP3;SABESP;ON      NM;683.508.570;2,886;1
SANB11;SANTANDER BR;UNT;356.586.730;0,479;1
STBP3;SANTOS BRP;ON      NM;855.712.622;0,585;0
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,177;0
CSNA3;SID NACIONAL;ON;736.268.400;0,399;0
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,156;0
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,6;1
TAEE11;TAESA;UNT     N2;218.568.234;0,352;1
VIVT3;TELEF BRASIL;ON;407.257.128;1,003;0
TIMS3;TIM;ON      NM;807.495.418;0,647;1
TOTS3;TOTVS;ON      NM;540.206.440;0,705;1
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,451;0
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,043;0
USIM5;USIMINAS;PNA     N1;515.193.199;0,146;1
VALE3;VALE;ON      NM;4.270.903.023;12,109;1
VAMO3;VAMOS;ON      NM;485.166.826;0,128;0
VBBR3;VIBRA;ON      NM;1.023.392.529;1,104;0
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,156;1
WEGE3;WEG;ON      NM;1.269.032.828;3,325;1
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,138;0
